,model,dataset,question_id,answer_index
100,Meta-Llama-3.1-8B-Instruct,arcc,100,3
101,Meta-Llama-3.1-8B-Instruct,arcc,101,2
102,Meta-Llama-3.1-8B-Instruct,arcc,102,2
103,Meta-Llama-3.1-8B-Instruct,arcc,103,0
104,Meta-Llama-3.1-8B-Instruct,arcc,104,0
105,Meta-Llama-3.1-8B-Instruct,arcc,105,0
106,Meta-Llama-3.1-8B-Instruct,arcc,106,0
107,Meta-Llama-3.1-8B-Instruct,arcc,107,1
108,Meta-Llama-3.1-8B-Instruct,arcc,108,0
109,Meta-Llama-3.1-8B-Instruct,arcc,109,0
110,Meta-Llama-3.1-8B-Instruct,arcc,110,0
111,Meta-Llama-3.1-8B-Instruct,arcc,111,0
112,Meta-Llama-3.1-8B-Instruct,arcc,112,0
113,Meta-Llama-3.1-8B-Instruct,arcc,113,0
114,Meta-Llama-3.1-8B-Instruct,arcc,114,0
115,Meta-Llama-3.1-8B-Instruct,arcc,115,0
116,Meta-Llama-3.1-8B-Instruct,arcc,116,0
117,Meta-Llama-3.1-8B-Instruct,arcc,117,0
118,Meta-Llama-3.1-8B-Instruct,arcc,118,0
119,Meta-Llama-3.1-8B-Instruct,arcc,119,0
120,Meta-Llama-3.1-8B-Instruct,arcc,120,0
121,Meta-Llama-3.1-8B-Instruct,arcc,121,0
122,Meta-Llama-3.1-8B-Instruct,arcc,122,0
123,Meta-Llama-3.1-8B-Instruct,arcc,123,0
124,Meta-Llama-3.1-8B-Instruct,arcc,124,0
125,Meta-Llama-3.1-8B-Instruct,arcc,125,0
126,Meta-Llama-3.1-8B-Instruct,arcc,126,0
127,Meta-Llama-3.1-8B-Instruct,arcc,127,0
128,Meta-Llama-3.1-8B-Instruct,arcc,128,0
129,Meta-Llama-3.1-8B-Instruct,arcc,129,3
130,Meta-Llama-3.1-8B-Instruct,arcc,130,0
131,Meta-Llama-3.1-8B-Instruct,arcc,131,0
132,Meta-Llama-3.1-8B-Instruct,arcc,132,2
133,Meta-Llama-3.1-8B-Instruct,arcc,133,3
134,Meta-Llama-3.1-8B-Instruct,arcc,134,0
135,Meta-Llama-3.1-8B-Instruct,arcc,135,0
136,Meta-Llama-3.1-8B-Instruct,arcc,136,1
137,Meta-Llama-3.1-8B-Instruct,arcc,137,0
138,Meta-Llama-3.1-8B-Instruct,arcc,138,0
139,Meta-Llama-3.1-8B-Instruct,arcc,139,0
140,Meta-Llama-3.1-8B-Instruct,arcc,140,0
141,Meta-Llama-3.1-8B-Instruct,arcc,141,0
142,Meta-Llama-3.1-8B-Instruct,arcc,142,1
143,Meta-Llama-3.1-8B-Instruct,arcc,143,0
144,Meta-Llama-3.1-8B-Instruct,arcc,144,0
145,Meta-Llama-3.1-8B-Instruct,arcc,145,0
146,Meta-Llama-3.1-8B-Instruct,arcc,146,1
147,Meta-Llama-3.1-8B-Instruct,arcc,147,0
148,Meta-Llama-3.1-8B-Instruct,arcc,148,2
149,Meta-Llama-3.1-8B-Instruct,arcc,149,0
150,Meta-Llama-3.1-8B-Instruct,arcc,150,0
151,Meta-Llama-3.1-8B-Instruct,arcc,151,0
152,Meta-Llama-3.1-8B-Instruct,arcc,152,0
153,Meta-Llama-3.1-8B-Instruct,arcc,153,0
154,Meta-Llama-3.1-8B-Instruct,arcc,154,0
155,Meta-Llama-3.1-8B-Instruct,arcc,155,0
156,Meta-Llama-3.1-8B-Instruct,arcc,156,0
157,Meta-Llama-3.1-8B-Instruct,arcc,157,0
158,Meta-Llama-3.1-8B-Instruct,arcc,158,0
159,Meta-Llama-3.1-8B-Instruct,arcc,159,0
160,Meta-Llama-3.1-8B-Instruct,arcc,160,0
161,Meta-Llama-3.1-8B-Instruct,arcc,161,0
162,Meta-Llama-3.1-8B-Instruct,arcc,162,1
163,Meta-Llama-3.1-8B-Instruct,arcc,163,0
164,Meta-Llama-3.1-8B-Instruct,arcc,164,1
165,Meta-Llama-3.1-8B-Instruct,arcc,165,0
166,Meta-Llama-3.1-8B-Instruct,arcc,166,0
167,Meta-Llama-3.1-8B-Instruct,arcc,167,0
168,Meta-Llama-3.1-8B-Instruct,arcc,168,0
169,Meta-Llama-3.1-8B-Instruct,arcc,169,0
170,Meta-Llama-3.1-8B-Instruct,arcc,170,0
171,Meta-Llama-3.1-8B-Instruct,arcc,171,0
172,Meta-Llama-3.1-8B-Instruct,arcc,172,0
173,Meta-Llama-3.1-8B-Instruct,arcc,173,0
174,Meta-Llama-3.1-8B-Instruct,arcc,174,0
175,Meta-Llama-3.1-8B-Instruct,arcc,175,0
176,Meta-Llama-3.1-8B-Instruct,arcc,176,0
177,Meta-Llama-3.1-8B-Instruct,arcc,177,2
178,Meta-Llama-3.1-8B-Instruct,arcc,178,0
179,Meta-Llama-3.1-8B-Instruct,arcc,179,0
180,Meta-Llama-3.1-8B-Instruct,arcc,180,1
181,Meta-Llama-3.1-8B-Instruct,arcc,181,0
182,Meta-Llama-3.1-8B-Instruct,arcc,182,0
183,Meta-Llama-3.1-8B-Instruct,arcc,183,0
184,Meta-Llama-3.1-8B-Instruct,arcc,184,0
185,Meta-Llama-3.1-8B-Instruct,arcc,185,0
186,Meta-Llama-3.1-8B-Instruct,arcc,186,0
187,Meta-Llama-3.1-8B-Instruct,arcc,187,0
188,Meta-Llama-3.1-8B-Instruct,arcc,188,0
189,Meta-Llama-3.1-8B-Instruct,arcc,189,0
190,Meta-Llama-3.1-8B-Instruct,arcc,190,0
191,Meta-Llama-3.1-8B-Instruct,arcc,191,0
192,Meta-Llama-3.1-8B-Instruct,arcc,192,0
193,Meta-Llama-3.1-8B-Instruct,arcc,193,0
194,Meta-Llama-3.1-8B-Instruct,arcc,194,0
195,Meta-Llama-3.1-8B-Instruct,arcc,195,0
196,Meta-Llama-3.1-8B-Instruct,arcc,196,0
197,Meta-Llama-3.1-8B-Instruct,arcc,197,0
198,Meta-Llama-3.1-8B-Instruct,arcc,198,0
199,Meta-Llama-3.1-8B-Instruct,arcc,199,0
200,Meta-Llama-3.1-8B-Instruct,arcc,200,0
201,Meta-Llama-3.1-8B-Instruct,arcc,201,0
202,Meta-Llama-3.1-8B-Instruct,arcc,202,0
203,Meta-Llama-3.1-8B-Instruct,arcc,203,0
204,Meta-Llama-3.1-8B-Instruct,arcc,204,0
205,Meta-Llama-3.1-8B-Instruct,arcc,205,0
206,Meta-Llama-3.1-8B-Instruct,arcc,206,0
207,Meta-Llama-3.1-8B-Instruct,arcc,207,0
208,Meta-Llama-3.1-8B-Instruct,arcc,208,0
209,Meta-Llama-3.1-8B-Instruct,arcc,209,2
210,Meta-Llama-3.1-8B-Instruct,arcc,210,0
211,Meta-Llama-3.1-8B-Instruct,arcc,211,0
212,Meta-Llama-3.1-8B-Instruct,arcc,212,0
213,Meta-Llama-3.1-8B-Instruct,arcc,213,0
214,Meta-Llama-3.1-8B-Instruct,arcc,214,2
215,Meta-Llama-3.1-8B-Instruct,arcc,215,0
216,Meta-Llama-3.1-8B-Instruct,arcc,216,0
217,Meta-Llama-3.1-8B-Instruct,arcc,217,0
218,Meta-Llama-3.1-8B-Instruct,arcc,218,0
219,Meta-Llama-3.1-8B-Instruct,arcc,219,0
220,Meta-Llama-3.1-8B-Instruct,arcc,220,0
221,Meta-Llama-3.1-8B-Instruct,arcc,221,0
222,Meta-Llama-3.1-8B-Instruct,arcc,222,2
223,Meta-Llama-3.1-8B-Instruct,arcc,223,0
224,Meta-Llama-3.1-8B-Instruct,arcc,224,0
225,Meta-Llama-3.1-8B-Instruct,arcc,225,0
226,Meta-Llama-3.1-8B-Instruct,arcc,226,0
227,Meta-Llama-3.1-8B-Instruct,arcc,227,0
228,Meta-Llama-3.1-8B-Instruct,arcc,228,0
229,Meta-Llama-3.1-8B-Instruct,arcc,229,0
230,Meta-Llama-3.1-8B-Instruct,arcc,230,0
231,Meta-Llama-3.1-8B-Instruct,arcc,231,2
232,Meta-Llama-3.1-8B-Instruct,arcc,232,0
233,Meta-Llama-3.1-8B-Instruct,arcc,233,0
234,Meta-Llama-3.1-8B-Instruct,arcc,234,0
235,Meta-Llama-3.1-8B-Instruct,arcc,235,0
236,Meta-Llama-3.1-8B-Instruct,arcc,236,0
237,Meta-Llama-3.1-8B-Instruct,arcc,237,0
238,Meta-Llama-3.1-8B-Instruct,arcc,238,0
239,Meta-Llama-3.1-8B-Instruct,arcc,239,0
240,Meta-Llama-3.1-8B-Instruct,arcc,240,0
241,Meta-Llama-3.1-8B-Instruct,arcc,241,0
242,Meta-Llama-3.1-8B-Instruct,arcc,242,0
243,Meta-Llama-3.1-8B-Instruct,arcc,243,0
244,Meta-Llama-3.1-8B-Instruct,arcc,244,0
245,Meta-Llama-3.1-8B-Instruct,arcc,245,3
246,Meta-Llama-3.1-8B-Instruct,arcc,246,0
247,Meta-Llama-3.1-8B-Instruct,arcc,247,2
248,Meta-Llama-3.1-8B-Instruct,arcc,248,0
249,Meta-Llama-3.1-8B-Instruct,arcc,249,3
250,Meta-Llama-3.1-8B-Instruct,arcc,250,3
251,Meta-Llama-3.1-8B-Instruct,arcc,251,0
252,Meta-Llama-3.1-8B-Instruct,arcc,252,0
253,Meta-Llama-3.1-8B-Instruct,arcc,253,0
254,Meta-Llama-3.1-8B-Instruct,arcc,254,3
255,Meta-Llama-3.1-8B-Instruct,arcc,255,0
256,Meta-Llama-3.1-8B-Instruct,arcc,256,0
257,Meta-Llama-3.1-8B-Instruct,arcc,257,0
258,Meta-Llama-3.1-8B-Instruct,arcc,258,0
259,Meta-Llama-3.1-8B-Instruct,arcc,259,0
260,Meta-Llama-3.1-8B-Instruct,arcc,260,0
261,Meta-Llama-3.1-8B-Instruct,arcc,261,2
262,Meta-Llama-3.1-8B-Instruct,arcc,262,0
263,Meta-Llama-3.1-8B-Instruct,arcc,263,0
264,Meta-Llama-3.1-8B-Instruct,arcc,264,0
265,Meta-Llama-3.1-8B-Instruct,arcc,265,0
266,Meta-Llama-3.1-8B-Instruct,arcc,266,3
267,Meta-Llama-3.1-8B-Instruct,arcc,267,1
268,Meta-Llama-3.1-8B-Instruct,arcc,268,0
269,Meta-Llama-3.1-8B-Instruct,arcc,269,0
270,Meta-Llama-3.1-8B-Instruct,arcc,270,0
271,Meta-Llama-3.1-8B-Instruct,arcc,271,0
272,Meta-Llama-3.1-8B-Instruct,arcc,272,0
273,Meta-Llama-3.1-8B-Instruct,arcc,273,0
274,Meta-Llama-3.1-8B-Instruct,arcc,274,0
275,Meta-Llama-3.1-8B-Instruct,arcc,275,0
276,Meta-Llama-3.1-8B-Instruct,arcc,276,0
277,Meta-Llama-3.1-8B-Instruct,arcc,277,0
278,Meta-Llama-3.1-8B-Instruct,arcc,278,0
279,Meta-Llama-3.1-8B-Instruct,arcc,279,0
280,Meta-Llama-3.1-8B-Instruct,arcc,280,0
281,Meta-Llama-3.1-8B-Instruct,arcc,281,0
282,Meta-Llama-3.1-8B-Instruct,arcc,282,0
283,Meta-Llama-3.1-8B-Instruct,arcc,283,0
284,Meta-Llama-3.1-8B-Instruct,arcc,284,0
285,Meta-Llama-3.1-8B-Instruct,arcc,285,1
286,Meta-Llama-3.1-8B-Instruct,arcc,286,2
287,Meta-Llama-3.1-8B-Instruct,arcc,287,0
288,Meta-Llama-3.1-8B-Instruct,arcc,288,0
289,Meta-Llama-3.1-8B-Instruct,arcc,289,0
290,Meta-Llama-3.1-8B-Instruct,arcc,290,0
291,Meta-Llama-3.1-8B-Instruct,arcc,291,3
292,Meta-Llama-3.1-8B-Instruct,arcc,292,1
293,Meta-Llama-3.1-8B-Instruct,arcc,293,2
294,Meta-Llama-3.1-8B-Instruct,arcc,294,0
295,Meta-Llama-3.1-8B-Instruct,arcc,295,3
296,Meta-Llama-3.1-8B-Instruct,arcc,296,0
297,Meta-Llama-3.1-8B-Instruct,arcc,297,0
298,Meta-Llama-3.1-8B-Instruct,arcc,298,0
299,Meta-Llama-3.1-8B-Instruct,arcc,299,0
300,Meta-Llama-3.1-8B-Instruct,arcc,300,0
301,Meta-Llama-3.1-8B-Instruct,arcc,301,0
302,Meta-Llama-3.1-8B-Instruct,arcc,302,0
303,Meta-Llama-3.1-8B-Instruct,arcc,303,0
304,Meta-Llama-3.1-8B-Instruct,arcc,304,0
305,Meta-Llama-3.1-8B-Instruct,arcc,305,0
306,Meta-Llama-3.1-8B-Instruct,arcc,306,0
307,Meta-Llama-3.1-8B-Instruct,arcc,307,0
308,Meta-Llama-3.1-8B-Instruct,arcc,308,0
309,Meta-Llama-3.1-8B-Instruct,arcc,309,0
310,Meta-Llama-3.1-8B-Instruct,arcc,310,0
311,Meta-Llama-3.1-8B-Instruct,arcc,311,0
312,Meta-Llama-3.1-8B-Instruct,arcc,312,0
313,Meta-Llama-3.1-8B-Instruct,arcc,313,0
314,Meta-Llama-3.1-8B-Instruct,arcc,314,3
315,Meta-Llama-3.1-8B-Instruct,arcc,315,0
316,Meta-Llama-3.1-8B-Instruct,arcc,316,2
317,Meta-Llama-3.1-8B-Instruct,arcc,317,0
318,Meta-Llama-3.1-8B-Instruct,arcc,318,0
319,Meta-Llama-3.1-8B-Instruct,arcc,319,0
320,Meta-Llama-3.1-8B-Instruct,arcc,320,0
321,Meta-Llama-3.1-8B-Instruct,arcc,321,0
322,Meta-Llama-3.1-8B-Instruct,arcc,322,3
323,Meta-Llama-3.1-8B-Instruct,arcc,323,0
324,Meta-Llama-3.1-8B-Instruct,arcc,324,0
325,Meta-Llama-3.1-8B-Instruct,arcc,325,0
326,Meta-Llama-3.1-8B-Instruct,arcc,326,0
327,Meta-Llama-3.1-8B-Instruct,arcc,327,0
328,Meta-Llama-3.1-8B-Instruct,arcc,328,1
329,Meta-Llama-3.1-8B-Instruct,arcc,329,0
330,Meta-Llama-3.1-8B-Instruct,arcc,330,0
331,Meta-Llama-3.1-8B-Instruct,arcc,331,0
332,Meta-Llama-3.1-8B-Instruct,arcc,332,0
333,Meta-Llama-3.1-8B-Instruct,arcc,333,0
334,Meta-Llama-3.1-8B-Instruct,arcc,334,0
335,Meta-Llama-3.1-8B-Instruct,arcc,335,0
336,Meta-Llama-3.1-8B-Instruct,arcc,336,0
337,Meta-Llama-3.1-8B-Instruct,arcc,337,0
338,Meta-Llama-3.1-8B-Instruct,arcc,338,0
339,Meta-Llama-3.1-8B-Instruct,arcc,339,0
340,Meta-Llama-3.1-8B-Instruct,arcc,340,3
341,Meta-Llama-3.1-8B-Instruct,arcc,341,0
342,Meta-Llama-3.1-8B-Instruct,arcc,342,0
343,Meta-Llama-3.1-8B-Instruct,arcc,343,1
344,Meta-Llama-3.1-8B-Instruct,arcc,344,0
345,Meta-Llama-3.1-8B-Instruct,arcc,345,0
346,Meta-Llama-3.1-8B-Instruct,arcc,346,0
347,Meta-Llama-3.1-8B-Instruct,arcc,347,0
348,Meta-Llama-3.1-8B-Instruct,arcc,348,0
349,Meta-Llama-3.1-8B-Instruct,arcc,349,0
350,Meta-Llama-3.1-8B-Instruct,arcc,350,3
351,Meta-Llama-3.1-8B-Instruct,arcc,351,1
352,Meta-Llama-3.1-8B-Instruct,arcc,352,1
353,Meta-Llama-3.1-8B-Instruct,arcc,353,1
354,Meta-Llama-3.1-8B-Instruct,arcc,354,0
355,Meta-Llama-3.1-8B-Instruct,arcc,355,0
356,Meta-Llama-3.1-8B-Instruct,arcc,356,0
357,Meta-Llama-3.1-8B-Instruct,arcc,357,0
358,Meta-Llama-3.1-8B-Instruct,arcc,358,0
359,Meta-Llama-3.1-8B-Instruct,arcc,359,2
360,Meta-Llama-3.1-8B-Instruct,arcc,360,3
361,Meta-Llama-3.1-8B-Instruct,arcc,361,0
362,Meta-Llama-3.1-8B-Instruct,arcc,362,0
363,Meta-Llama-3.1-8B-Instruct,arcc,363,0
364,Meta-Llama-3.1-8B-Instruct,arcc,364,0
365,Meta-Llama-3.1-8B-Instruct,arcc,365,0
366,Meta-Llama-3.1-8B-Instruct,arcc,366,0
367,Meta-Llama-3.1-8B-Instruct,arcc,367,0
368,Meta-Llama-3.1-8B-Instruct,arcc,368,0
369,Meta-Llama-3.1-8B-Instruct,arcc,369,0
370,Meta-Llama-3.1-8B-Instruct,arcc,370,0
371,Meta-Llama-3.1-8B-Instruct,arcc,371,0
372,Meta-Llama-3.1-8B-Instruct,arcc,372,0
373,Meta-Llama-3.1-8B-Instruct,arcc,373,0
374,Meta-Llama-3.1-8B-Instruct,arcc,374,0
375,Meta-Llama-3.1-8B-Instruct,arcc,375,0
376,Meta-Llama-3.1-8B-Instruct,arcc,376,0
377,Meta-Llama-3.1-8B-Instruct,arcc,377,0
378,Meta-Llama-3.1-8B-Instruct,arcc,378,0
379,Meta-Llama-3.1-8B-Instruct,arcc,379,0
380,Meta-Llama-3.1-8B-Instruct,arcc,380,0
381,Meta-Llama-3.1-8B-Instruct,arcc,381,2
382,Meta-Llama-3.1-8B-Instruct,arcc,382,0
383,Meta-Llama-3.1-8B-Instruct,arcc,383,0
384,Meta-Llama-3.1-8B-Instruct,arcc,384,0
385,Meta-Llama-3.1-8B-Instruct,arcc,385,0
386,Meta-Llama-3.1-8B-Instruct,arcc,386,0
387,Meta-Llama-3.1-8B-Instruct,arcc,387,0
388,Meta-Llama-3.1-8B-Instruct,arcc,388,0
389,Meta-Llama-3.1-8B-Instruct,arcc,389,0
390,Meta-Llama-3.1-8B-Instruct,arcc,390,0
391,Meta-Llama-3.1-8B-Instruct,arcc,391,0
392,Meta-Llama-3.1-8B-Instruct,arcc,392,0
393,Meta-Llama-3.1-8B-Instruct,arcc,393,2
394,Meta-Llama-3.1-8B-Instruct,arcc,394,1
395,Meta-Llama-3.1-8B-Instruct,arcc,395,0
396,Meta-Llama-3.1-8B-Instruct,arcc,396,0
397,Meta-Llama-3.1-8B-Instruct,arcc,397,0
398,Meta-Llama-3.1-8B-Instruct,arcc,398,0
399,Meta-Llama-3.1-8B-Instruct,arcc,399,0
400,Meta-Llama-3.1-8B-Instruct,arcc,400,0
401,Meta-Llama-3.1-8B-Instruct,arcc,401,2
402,Meta-Llama-3.1-8B-Instruct,arcc,402,0
403,Meta-Llama-3.1-8B-Instruct,arcc,403,2
404,Meta-Llama-3.1-8B-Instruct,arcc,404,0
405,Meta-Llama-3.1-8B-Instruct,arcc,405,0
406,Meta-Llama-3.1-8B-Instruct,arcc,406,0
407,Meta-Llama-3.1-8B-Instruct,arcc,407,0
408,Meta-Llama-3.1-8B-Instruct,arcc,408,0
409,Meta-Llama-3.1-8B-Instruct,arcc,409,0
410,Meta-Llama-3.1-8B-Instruct,arcc,410,0
411,Meta-Llama-3.1-8B-Instruct,arcc,411,0
412,Meta-Llama-3.1-8B-Instruct,arcc,412,0
413,Meta-Llama-3.1-8B-Instruct,arcc,413,0
414,Meta-Llama-3.1-8B-Instruct,arcc,414,0
415,Meta-Llama-3.1-8B-Instruct,arcc,415,0
416,Meta-Llama-3.1-8B-Instruct,arcc,416,1
417,Meta-Llama-3.1-8B-Instruct,arcc,417,1
418,Meta-Llama-3.1-8B-Instruct,arcc,418,1
419,Meta-Llama-3.1-8B-Instruct,arcc,419,0
420,Meta-Llama-3.1-8B-Instruct,arcc,420,0
421,Meta-Llama-3.1-8B-Instruct,arcc,421,0
422,Meta-Llama-3.1-8B-Instruct,arcc,422,3
423,Meta-Llama-3.1-8B-Instruct,arcc,423,0
424,Meta-Llama-3.1-8B-Instruct,arcc,424,1
425,Meta-Llama-3.1-8B-Instruct,arcc,425,0
426,Meta-Llama-3.1-8B-Instruct,arcc,426,0
427,Meta-Llama-3.1-8B-Instruct,arcc,427,2
428,Meta-Llama-3.1-8B-Instruct,arcc,428,0
429,Meta-Llama-3.1-8B-Instruct,arcc,429,0
430,Meta-Llama-3.1-8B-Instruct,arcc,430,0
431,Meta-Llama-3.1-8B-Instruct,arcc,431,0
432,Meta-Llama-3.1-8B-Instruct,arcc,432,0
433,Meta-Llama-3.1-8B-Instruct,arcc,433,0
434,Meta-Llama-3.1-8B-Instruct,arcc,434,0
435,Meta-Llama-3.1-8B-Instruct,arcc,435,0
436,Meta-Llama-3.1-8B-Instruct,arcc,436,0
437,Meta-Llama-3.1-8B-Instruct,arcc,437,0
438,Meta-Llama-3.1-8B-Instruct,arcc,438,0
439,Meta-Llama-3.1-8B-Instruct,arcc,439,0
440,Meta-Llama-3.1-8B-Instruct,arcc,440,0
441,Meta-Llama-3.1-8B-Instruct,arcc,441,0
442,Meta-Llama-3.1-8B-Instruct,arcc,442,0
443,Meta-Llama-3.1-8B-Instruct,arcc,443,0
444,Meta-Llama-3.1-8B-Instruct,arcc,444,0
445,Meta-Llama-3.1-8B-Instruct,arcc,445,2
446,Meta-Llama-3.1-8B-Instruct,arcc,446,0
447,Meta-Llama-3.1-8B-Instruct,arcc,447,0
448,Meta-Llama-3.1-8B-Instruct,arcc,448,0
449,Meta-Llama-3.1-8B-Instruct,arcc,449,0
450,Meta-Llama-3.1-8B-Instruct,arcc,450,0
451,Meta-Llama-3.1-8B-Instruct,arcc,451,0
452,Meta-Llama-3.1-8B-Instruct,arcc,452,0
453,Meta-Llama-3.1-8B-Instruct,arcc,453,0
454,Meta-Llama-3.1-8B-Instruct,arcc,454,0
455,Meta-Llama-3.1-8B-Instruct,arcc,455,0
456,Meta-Llama-3.1-8B-Instruct,arcc,456,3
457,Meta-Llama-3.1-8B-Instruct,arcc,457,1
458,Meta-Llama-3.1-8B-Instruct,arcc,458,0
459,Meta-Llama-3.1-8B-Instruct,arcc,459,0
460,Meta-Llama-3.1-8B-Instruct,arcc,460,0
461,Meta-Llama-3.1-8B-Instruct,arcc,462,0
462,Meta-Llama-3.1-8B-Instruct,arcc,463,0
463,Meta-Llama-3.1-8B-Instruct,arcc,464,0
464,Meta-Llama-3.1-8B-Instruct,arcc,465,0
